date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:27:39	336/336	---M-Z	200	added ('OK')	text/css	date:Tue,%2019%20Apr%202022%2020:34:46%20GMT	https://themeknit.com/demo/html/authfy/demo/css/preloader.css	D:/webistess/login/themeknit.com/demo/html/authfy/demo/css/preloader.css	(from https://themeknit.com/demo/html/authfy/demo/css/login3-style.css)
21:27:40	85624/85624	---M--	200	added ('OK')	image/jpeg	date:Tue,%2019%20Apr%202022%2020:35:03%20GMT	https://themeknit.com/demo/html/authfy/demo/images/computer-1867758_1920-min.jpg	D:/webistess/login/themeknit.com/demo/html/authfy/demo/images/computer-1867758_1920-min.jpg	(from https://themeknit.com/demo/html/authfy/demo/css/login3-style.css)
21:27:40	20335/20335	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2019%20Apr%202022%2020:35:31%20GMT	https://themeknit.com/demo/html/authfy/demo/fonts/glyphicons-halflings-regular.eot	D:/webistess/login/themeknit.com/demo/html/authfy/demo/fonts/glyphicons-halflings-regular.eot	(from https://themeknit.com/demo/html/authfy/demo/css/bootstrap.min.css)
21:27:40	20335/20335	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2019%20Apr%202022%2020:35:31%20GMT	https://themeknit.com/demo/html/authfy/demo/fonts/glyphicons-halflings-regular.eot?	D:/webistess/login/themeknit.com/demo/html/authfy/demo/fonts/glyphicons-halflings-regulard41d.eot	(from https://themeknit.com/demo/html/authfy/demo/css/bootstrap.min.css)
21:27:44	157167/157167	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2008%20Apr%202025%2015:57:43%20GMT	https://themeknit.com/demo/html/authfy/demo/fonts/glyphicons-halflings-regular.woff2	D:/webistess/login/themeknit.com/demo/html/authfy/demo/fonts/glyphicons-halflings-regular.woff2	(from https://themeknit.com/demo/html/authfy/demo/css/bootstrap.min.css)
21:27:44	23320/23320	---M--	200	added ('OK')	font/woff	date:Tue,%2019%20Apr%202022%2020:35:28%20GMT	https://themeknit.com/demo/html/authfy/demo/fonts/glyphicons-halflings-regular.woff	D:/webistess/login/themeknit.com/demo/html/authfy/demo/fonts/glyphicons-halflings-regular.woff	(from https://themeknit.com/demo/html/authfy/demo/css/bootstrap.min.css)
21:27:45	62926/62926	---M-Z	200	added ('OK')	image/svg+xml	date:Tue,%2019%20Apr%202022%2020:35:44%20GMT	https://themeknit.com/demo/html/authfy/demo/fonts/glyphicons-halflings-regular.svg	D:/webistess/login/themeknit.com/demo/html/authfy/demo/fonts/glyphicons-halflings-regular.svg	(from https://themeknit.com/demo/html/authfy/demo/css/bootstrap.min.css)
21:27:45	41280/41280	---M--	200	added ('OK')	font/ttf	date:Tue,%2019%20Apr%202022%2020:35:33%20GMT	https://themeknit.com/demo/html/authfy/demo/fonts/glyphicons-halflings-regular.ttf	D:/webistess/login/themeknit.com/demo/html/authfy/demo/fonts/glyphicons-halflings-regular.ttf	(from https://themeknit.com/demo/html/authfy/demo/css/bootstrap.min.css)
21:27:47	56006/56006	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2019%20Apr%202022%2020:35:46%20GMT	https://themeknit.com/demo/html/authfy/demo/fonts/fontawesome-webfont.eot?v=4.2.0	D:/webistess/login/themeknit.com/demo/html/authfy/demo/fonts/fontawesome-webfont78ce.eot	(from https://themeknit.com/demo/html/authfy/demo/css/font-awesome.min.css)
21:27:47	56006/56006	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2019%20Apr%202022%2020:35:46%20GMT	https://themeknit.com/demo/html/authfy/demo/fonts/fontawesome-webfont.eot?	D:/webistess/login/themeknit.com/demo/html/authfy/demo/fonts/fontawesome-webfontd41d.eot	(from https://themeknit.com/demo/html/authfy/demo/css/font-awesome.min.css)
21:27:48	112160/112160	---M--	200	added ('OK')	font/ttf	date:Tue,%2019%20Apr%202022%2020:35:43%20GMT	https://themeknit.com/demo/html/authfy/demo/fonts/fontawesome-webfont.ttf?v=4.2.0	D:/webistess/login/themeknit.com/demo/html/authfy/demo/fonts/fontawesome-webfont78ce.ttf	(from https://themeknit.com/demo/html/authfy/demo/css/font-awesome.min.css)
21:27:48	65452/65452	---M--	200	added ('OK')	font/woff	date:Tue,%2019%20Apr%202022%2020:35:42%20GMT	https://themeknit.com/demo/html/authfy/demo/fonts/fontawesome-webfont.woff?v=4.2.0	D:/webistess/login/themeknit.com/demo/html/authfy/demo/fonts/fontawesome-webfont78ce.woff	(from https://themeknit.com/demo/html/authfy/demo/css/font-awesome.min.css)
21:27:49	13999/13999	---M--	200	added ('OK')	image/gif	date:Tue,%2019%20Apr%202022%2020:34:54%20GMT	https://themeknit.com/demo/html/authfy/demo/images/preloader.gif	D:/webistess/login/themeknit.com/demo/html/authfy/demo/images/preloader.gif	(from https://themeknit.com/demo/html/authfy/demo/css/preloader.css)
21:27:49	287007/287007	---M-Z	200	added ('OK')	image/svg+xml	date:Tue,%2019%20Apr%202022%2020:35:38%20GMT	https://themeknit.com/demo/html/authfy/demo/fonts/fontawesome-webfont.svg?v=4.2.0	D:/webistess/login/themeknit.com/demo/html/authfy/demo/fonts/fontawesome-webfont78ce.svg	(from https://themeknit.com/demo/html/authfy/demo/css/font-awesome.min.css)
